PROVINCIA,N_DEPARTAMENTOS,VP,FN,FP,VN,EXACTITUD,PRECISIÓN,SENSIBILIDAD,ESPECIFICIDAD
Buenos Aires,135,454,338,426,3642,0.842798353909465,0.5159090909090909,0.5732323232323232,0.8952802359882006
Chaco,25,203,1,409,287,0.5444444444444444,0.33169934640522875,0.9950980392156863,0.41235632183908044
Corrientes,25,164,0,480,256,0.4666666666666667,0.2546583850931677,1.0,0.34782608695652173
Córdoba,26,59,169,52,656,0.7638888888888888,0.5315315315315315,0.25877192982456143,0.9265536723163842
Entre Rios,17,86,30,186,310,0.6470588235294118,0.3161764705882353,0.7413793103448276,0.625
Formosa,9,52,27,137,108,0.49382716049382713,0.2751322751322751,0.6582278481012658,0.44081632653061226
La Pampa,22,10,11,104,667,0.8547979797979798,0.08771929824561403,0.47619047619047616,0.8651102464332037
Misiones,17,31,11,241,329,0.5882352941176471,0.11397058823529412,0.7380952380952381,0.5771929824561404
Santa Fe,19,138,31,159,356,0.7222222222222222,0.46464646464646464,0.8165680473372781,0.6912621359223301
