fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median,PROVINCIA
29,1099,Buenos Aires,Tornquist,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1,1,2,3,3,2,1,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,Buenos Aires
30,1100,Buenos Aires,Coronel Pringles,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0,Buenos Aires
31,1101,Buenos Aires,General Pinto,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8,9,8,8,8,9,9,9,9,Buenos Aires
32,1102,Buenos Aires,San Cayetano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,4,5,4,2,0,0,Buenos Aires
33,1103,Buenos Aires,Tres Arroyos,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,3,3,2,1,0,0,Buenos Aires
34,1104,Buenos Aires,Coronel Dorrego,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,1,2,3,3,3,2,1,0,0,Buenos Aires
35,1105,Buenos Aires,Necochea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,2,3,3,4,5,4,2,0,0,Buenos Aires
36,1110,Buenos Aires,Lezama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,2,0,0,0,1,1,1,2,4,7,6,6,6,8,8,6,4,Buenos Aires
37,1111,Buenos Aires,Chascomús,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,5,7,6,6,6,8,8,6,4,Buenos Aires
38,1112,Buenos Aires,Punta Indio,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,7,6,6,8,9,7,5,Buenos Aires
39,1114,Buenos Aires,Campana,0,0,0,0,1,2,3,3,3,3,2,3,5,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
44,1130,Buenos Aires,Adolfo Alsina,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,3,3,2,2,2,Buenos Aires
45,1131,Buenos Aires,Pellegrini,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,4,5,6,6,6,Buenos Aires
46,1132,Buenos Aires,Puán,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,Buenos Aires
47,1133,Buenos Aires,Villarino,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,Buenos Aires
48,1134,Buenos Aires,General Villegas,0,1,2,3,3,5,4,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,6,6,6,6,7,8,9,9,Buenos Aires
56,1159,Buenos Aires,Pergamino,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,4,3,1,1,0,2,4,6,7,8,9,9,9,9,9,9,7,5,Buenos Aires
65,1199,Buenos Aires,Castelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,1,3,6,6,6,6,7,7,5,4,Buenos Aires
66,1200,Buenos Aires,Almirante Brown,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,2,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
67,1201,Buenos Aires,Presidente Perón,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5,Buenos Aires
68,1202,Buenos Aires,Brandsen,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,8,8,8,9,9,7,5,Buenos Aires
69,1203,Buenos Aires,Carlos Casares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,5,5,5,6,6,7,8,Buenos Aires
