PROVINCIA,N_DEPARTAMENTOS,VP,FN,FP,VN,EXACTITUD,PRECISIÓN,SENSIBILIDAD,ESPECIFICIDAD
Buenos Aires,135,500,431,380,3549,0.8331275720164609,0.5681818181818182,0.5370569280343717,0.903283278187834
Chaco,25,285,12,327,276,0.6233333333333333,0.46568627450980393,0.9595959595959596,0.4577114427860697
Corrientes,25,219,21,425,235,0.5044444444444445,0.34006211180124224,0.9125,0.3560606060606061
Córdoba,26,91,221,20,604,0.7425213675213675,0.8198198198198198,0.2916666666666667,0.967948717948718
Entre Rios,17,111,62,161,278,0.6356209150326797,0.40808823529411764,0.6416184971098265,0.6332574031890661
Formosa,9,73,43,116,92,0.5092592592592593,0.3862433862433862,0.6293103448275862,0.4423076923076923
La Pampa,22,20,23,94,655,0.8522727272727273,0.17543859649122806,0.46511627906976744,0.8744993324432577
Misiones,17,33,29,239,311,0.5620915032679739,0.1213235294117647,0.532258064516129,0.5654545454545454
Santa Fe,19,163,85,134,302,0.6798245614035088,0.5488215488215489,0.657258064516129,0.6926605504587156
