fid,gid,objeto,fna,gna,nam,in1,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median
28,1098,Departamento,Partido de Berazategui,Partido,Berazategui,06091,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
29,1099,Departamento,Partido de Tornquist,Partido,Tornquist,06819,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1,1,2,3,3,2,1,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0
30,1100,Departamento,Partido de Coronel Pringles,Partido,Coronel Pringles,06196,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0
31,1101,Departamento,Partido de General Pinto,Partido,General Pinto,06351,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8,9,8,8,8,9,9,9,9
32,1102,Departamento,Partido de San Cayetano,Partido,San Cayetano,06742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,4,5,4,2,0,0
33,1103,Departamento,Partido de Tres Arroyos,Partido,Tres Arroyos,06833,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,3,3,2,1,0,0
34,1104,Departamento,Partido de Coronel Dorrego,Partido,Coronel Dorrego,06189,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,1,2,3,3,3,2,1,0,0
35,1105,Departamento,Partido de Necochea,Partido,Necochea,06581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,2,3,3,4,5,4,2,0,0
36,1110,Departamento,Partido de Lezama,Partido,Lezama,06466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,2,0,0,0,1,1,1,2,4,7,6,6,6,8,8,6,4
37,1111,Departamento,Partido de Chascomús,Partido,Chascomús,06218,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,5,7,6,6,6,8,8,6,4
38,1112,Departamento,Partido de Punta Indio,Partido,Punta Indio,06655,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,7,6,6,8,9,7,5
39,1114,Departamento,Partido de Campana,Partido,Campana,06126,0,0,0,0,1,2,3,3,3,3,2,3,5,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,9,9,7,5
44,1130,Departamento,Partido de Adolfo Alsina,Partido,Adolfo Alsina,06007,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,3,3,2,2,2
45,1131,Departamento,Partido de Pellegrini,Partido,Pellegrini,06616,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,4,5,6,6,6
46,1132,Departamento,Partido de Puán,Partido,Puán,06651,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0
47,1133,Departamento,Partido de Villarino,Partido,Villarino,06875,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
48,1134,Departamento,Partido de General Villegas,Partido,General Villegas,06392,0,1,2,3,3,5,4,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,6,6,6,6,7,8,9,9
56,1159,Departamento,Partido de Pergamino,Partido,Pergamino,06623,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,4,3,1,1,0,2,4,6,7,8,9,9,9,9,9,9,7,5
65,1199,Departamento,Partido de Castelli,Partido,Castelli,06168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,1,3,6,6,6,6,7,7,5,4
66,1200,Departamento,Partido de Almirante Brown,Partido,Almirante Brown,06028,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,2,4,5,7,8,9,9,9,9,9,7,5
67,1201,Departamento,Partido de Presidente Perón,Partido,Presidente Perón,06648,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
68,1202,Departamento,Partido de Brandsen,Partido,Brandsen,06119,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,8,8,8,9,9,7,5
69,1203,Departamento,Partido de Carlos Casares,Partido,Carlos Casares,06147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,5,5,5,6,6,7,8
70,1204,Departamento,Partido de Carlos Tejedor,Partido,Carlos Tejedor,06154,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,5,5,7,8,9,9
71,1205,Departamento,Partido de 25 de Mayo,Partido,25 de Mayo,06854,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,3,4,5,7,7,7,7,8,9,9,9
72,1206,Departamento,Partido de 9 de Julio,Partido,9 de Julio,06588,0,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,8,7,7,8,9,9,9
73,1207,Departamento,Partido de Pehuajó,Partido,Pehuajó,06609,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,4,3,4,5,7,8
74,1208,Departamento,Partido de Trenque Lauquen,Partido,Trenque Lauquen,06826,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,3,4,5,6,7,8
75,1209,Departamento,Partido de General Belgrano,Partido,General Belgrano,06301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,6,6,6,8,8,6,4
76,1210,Departamento,Partido de Monte,Partido,Monte,06547,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,7,8,8,9,9,7,5
77,1211,Departamento,Partido de Roque Pérez,Partido,Roque Pérez,06693,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,8,9,9,9,9,7,5
78,1212,Departamento,Partido de Olavarría,Partido,Olavarría,06595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,4,3,3,3,3,3
79,1213,Departamento,Partido de Merlo,Partido,Merlo,06539,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
80,1214,Departamento,Partido de Esteban Echeverría,Partido,Esteban Echeverría,06260,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
81,1215,Departamento,Partido de Arrecifes,Partido,Arrecifes,06077,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,4,3,1,1,1,2,4,5,6,8,9,9,9,9,9,9,7,5
82,1216,Departamento,Partido de Capitán Sarmiento,Partido,Capitán Sarmiento,06140,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5
83,1217,Departamento,Partido de Carmen de Areco,Partido,Carmen de Areco,06161,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5
84,1218,Departamento,Partido de Salto,Partido,Salto,06714,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7
85,1219,Departamento,Partido de Exaltación de la Cruz,Partido,Exaltación de la Cruz,06266,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
86,1220,Departamento,Partido de San Miguel,Partido,San Miguel,06760,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
87,1221,Departamento,Partido de San Andrés de Giles,Partido,San Andrés de Giles,06728,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5
88,1222,Departamento,Partido de Junín,Partido,Junín,06413,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,3,5,6,7,8,9,8,8,8,9,9,8,7
89,1223,Departamento,Partido de Mercedes,Partido,Mercedes,06532,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5
90,1224,Departamento,Partido de Pilar,Partido,Pilar,06638,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
91,1225,Departamento,Partido de Luján,Partido,Luján,06497,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
92,1226,Departamento,Partido de Hurlingham,Partido,Hurlingham,06408,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
93,1227,Departamento,Partido de Morón,Partido,Morón,06568,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
94,1228,Departamento,Partido de Chacabuco,Partido,Chacabuco,06210,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7
95,1229,Departamento,Partido de Malvinas Argentinas,Partido,Malvinas Argentinas,06515,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
96,1230,Departamento,Partido General San Martín,Partido,General San Martín,06371,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
97,1231,Departamento,Partido de Lincoln,Partido,Lincoln,06469,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,9,8,8,8,9,9,9,9
98,1232,Departamento,Partido de Ituzaingó,Partido,Ituzaingó,06410,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
99,1233,Departamento,Partido de General Rodríguez,Partido,General Rodríguez,06364,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
100,1234,Departamento,Partido de Suipacha,Partido,Suipacha,06784,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7
101,1235,Departamento,Partido de Tres de Febrero,Partido,Tres de Febrero,06840,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
102,1237,Departamento,Partido de Chivilcoy,Partido,Chivilcoy,06224,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,0,1,2,4,6,8,9,9,9,9,9,9,8,7
103,1238,Departamento,Partido de Alberti,Partido,Alberti,06021,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,0,1,2,3,5,7,9,8,8,8,9,9,8,7
104,1239,Departamento,Partido de Bragado,Partido,Bragado,06112,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,1,1,1,0,0,0,1,2,3,4,6,8,8,8,8,9,9,9,9
105,1240,Departamento,Partido de General Las Heras,Partido,General Las Heras,06329,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,7,5
106,1241,Departamento,Partido de Marcos Paz,Partido,Marcos Paz,06525,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
107,1242,Departamento,Partido de General Viamonte,Partido,General Viamonte,06385,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,9,8,8,8,9,9,9,9
108,1243,Departamento,Partido de Ezeiza,Partido,Ezeiza,06270,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
109,1244,Departamento,Partido de Florencio Varela,Partido,Florencio Varela,06274,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
110,1245,Departamento,Partido de Navarro,Partido,Navarro,06574,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,4,2,0,0,0,1,2,4,6,8,9,9,9,9,9,9,7,5
111,1246,Departamento,Partido de Cañuelas,Partido,Cañuelas,06134,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
112,1247,Departamento,Partido de San Vicente,Partido,San Vicente,06778,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
113,1248,Departamento,Partido de Lobos,Partido,Lobos,06483,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,2,3,4,6,8,9,9,9,9,9,7,5
114,1249,Departamento,Partido de General Alvear,Partido,General Alvear,06287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,5,6,7,7,6,6
115,1250,Departamento,Partido de Quilmes,Partido,Quilmes,06658,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,2,4,5,7,8,9,9,9,9,9,7,5
116,1251,Departamento,Partido de General La Madrid,Partido,General La Madrid,06322,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0
117,1252,Departamento,Partido de Bolívar,Partido,Bolívar,06105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,4,3,3,3,4,5
118,1253,Departamento,Partido de Balcarce,Partido,Balcarce,06063,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,3,3,2,2,2,1,0,0
119,1254,Departamento,Partido de Tapalqué,Partido,Tapalqué,06798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,5,4,3,3
120,1255,Departamento,Partido de Hipólito Yrigoyen,Partido,Hipólito Yrigoyen,06406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,4,3,3,3,4,5
121,1256,Departamento,Partido de Dolores,Partido,Dolores,06238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,1,3,5,5,4,4,5,6,5,4
122,1257,Departamento,Partido de Azul,Partido,Azul,06049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,5,5,4,3,2,1,1,1
123,1258,Departamento,Partido de Daireaux,Partido,Daireaux,06231,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,3,4,4,4,4,5
124,1259,Departamento,Partido de Tres Lomas,Partido,Tres Lomas,06847,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,4,5,6,6,6
125,1260,Departamento,Partido de Ayacucho,Partido,Ayacucho,06042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,5,4,3,2,1,0,0
