fid,gid,objeto,fna,gna,nam,in1,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median
141,1296,Departamento,Partido de General Arenales,Partido,General Arenales,06294,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,8,7
142,1298,Departamento,Partido de Patagones,Partido,Patagones,06602,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,5,6,6,4,2,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3,3
144,1303,Departamento,Partido de Coronel de Marina Leonardo Rosales,Partido,Coronel de Marina Leonardo Rosales,06182,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1,0,1,2,3,3,3,2,1,0,0,0,0,0,0,1,2,3,2,1,0,0
145,1304,Departamento,Partido de Baradero,Partido,Baradero,06070,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,1,2,4,6,8,9,9,9,9,9,9,7,5
146,1305,Departamento,Partido de San Pedro,Partido,San Pedro,06770,0,1,2,3,3,3,5,6,5,4,2,1,0,0,0,1,3,5,6,5,3,1,0,1,2,4,6,8,9,9,9,9,9,9,7,5
147,1313,Departamento,Partido de Florentino Ameghino,Partido,Florentino Ameghino,06277,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,7,9,8,7,6,7,8,9,9
148,1320,Departamento,Partido de Lanús,Partido,Lanús,06434,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
149,1321,Departamento,Partido de Lomas de Zamora,Partido,Lomas de Zamora,06490,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
150,1322,Departamento,Partido de Avellaneda,Partido,Avellaneda,06035,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
152,1329,Departamento,Partido de La Plata,Partido,La Plata,06441,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,8,8,8,9,9,7,5
153,1346,Departamento,Partido de Pila,Partido,Pila,06630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,1,3,5,5,5,6,7,7,5,4
154,1369,Departamento,Departamento Victoria,Departamento,Victoria,30105,1,3,5,6,6,6,6,6,5,4,2,3,4,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,8,7,5,4
155,1370,Departamento,Departamento Gualeguay,Departamento,Gualeguay,30049,0,1,2,3,3,4,5,6,5,4,2,3,4,6,6,5,4,4,5,6,5,4,2,1,0,2,5,8,9,9,9,9,8,7,5,4
162,1425,Departamento,Departamento Constitución,Departamento,Constitución,82028,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,4,4,3,3,1,1,3,5,6,8,9,9,9,9,9,9,7,5
163,1426,Departamento,Departamento Rosario,Departamento,Rosario,82084,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,6,6,5,3,1,1,3,5,6,8,9,9,9,9,8,7,5,4
164,1427,Departamento,Departamento Iriondo,Departamento,Iriondo,82056,1,3,5,6,6,6,5,6,5,3,1,0,0,0,0,1,3,5,6,6,5,3,1,1,3,5,6,7,8,9,9,9,8,8,6,5
165,1431,Departamento,Departamento Caleu Caleu,Departamento,Caleu Caleu,42014,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
166,1433,Departamento,Departamento Chapaleufú,Departamento,Chapaleufú,42056,0,0,1,3,4,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,5,4,3,4,5,6,7,8
167,1434,Departamento,Departamento Rancul,Departamento,Rancul,42126,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,5,4,3,3,3,3,3,4
168,1435,Departamento,Departamento Lihuel Calel,Departamento,Lihuel Calel,42084,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,1436,Departamento,Departamento Hucal,Departamento,Hucal,42077,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1437,Departamento,Departamento Limay Mahuida,Departamento,Limay Mahuida,42091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1438,Departamento,Departamento Guatraché,Departamento,Guatraché,42070,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,0
172,1439,Departamento,Departamento Maracó,Departamento,Maracó,42105,0,0,0,1,3,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,3,4,5,6,7,8
173,1440,Departamento,Departamento Realicó,Departamento,Realicó,42133,0,0,1,3,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,5,4,3,4,5,6,7,8
174,1441,Departamento,Departamento Utracán,Departamento,Utracán,42154,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1442,Departamento,Departamento Toay,Departamento,Toay,42140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,2,1,0,0
176,1443,Departamento,Departamento Capital,Departamento,Capital,42021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,3,3,3,3
177,1444,Departamento,Departamento Trenel,Departamento,Trenel,42147,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,5,4,3,4,4,5,5,7
178,1447,Departamento,Departamento Conhelo,Departamento,Conhelo,42035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,4,5
179,1448,Departamento,Departamento Loventué,Departamento,Loventué,42098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,2,1,0,0
180,1450,Departamento,Partido de San Fernando,Partido,San Fernando,06749,0,0,0,0,1,3,3,2,0,0,1,3,5,6,6,5,4,4,5,6,5,4,2,2,2,4,5,7,8,9,9,9,9,9,7,5
181,1451,Departamento,Partido de Tigre,Partido,Tigre,06805,0,0,0,0,1,2,3,3,2,1,0,2,4,6,6,5,4,4,5,6,5,4,2,2,3,4,5,7,8,9,9,9,9,9,7,5
182,1456,Departamento,Partido de Rivadavia,Partido,Rivadavia,06679,0,0,0,1,2,3,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,3,4,5,6,7,8
183,1463,Departamento,Departamento General López,Departamento,General López,82042,0,1,2,3,3,4,5,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,7,8,8,9,9,9,9,8,7
184,1464,Departamento,Departamento Caseros,Departamento,Caseros,82014,0,1,2,3,3,4,5,6,5,3,1,0,0,0,0,1,1,1,0,2,3,3,2,2,4,5,6,7,8,9,9,9,8,8,6,5
185,1465,Departamento,Departamento San Lorenzo,Departamento,San Lorenzo,82119,0,1,2,3,3,4,5,6,5,3,1,0,0,0,0,1,3,5,6,6,5,3,1,1,3,5,6,7,8,9,9,9,8,8,6,5
186,1471,Departamento,Departamento Atreucó,Departamento,Atreucó,42007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,3,3,2,2,2
187,1472,Departamento,Departamento Catriló,Departamento,Catriló,42028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,3,3,4,5
188,1473,Departamento,Departamento Quemú Quemú,Departamento,Quemú Quemú,42119,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,4,5,6,6,6
189,1474,Departamento,Departamento Curacó,Departamento,Curacó,42042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
190,1477,Departamento,Departamento Belgrano,Departamento,Belgrano,82007,1,3,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,2,1,3,2,2,1,2,4,5,6,7,8,9,9,9,8,8,6,5
191,1497,Departamento,Departamento Islas del Ibicuy,Departamento,Islas del Ibicuy,30063,1,3,5,6,6,6,6,6,5,4,3,4,5,6,6,5,4,4,5,6,5,4,2,1,0,2,5,8,9,9,9,9,9,8,6,4
192,1498,Departamento,Departamento Uruguay,Departamento,Uruguay,30098,0,0,0,1,2,4,3,4,3,3,1,0,0,0,0,0,1,2,4,4,3,1,0,0,0,0,1,3,5,6,7,8,8,7,5,3
193,1500,Departamento,Departamento Gualeguaychú,Departamento,Gualeguaychú,30056,0,0,1,2,3,4,5,6,5,3,2,1,1,0,0,0,1,2,4,4,3,1,0,0,0,0,2,4,6,6,7,8,8,7,5,4
194,1535,Departamento,Departamento Unión,Departamento,Unión,14182,1,3,5,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,3,3,2,2,4,5,6,6,7,8,8,8,7,8,7,7
195,1536,Departamento,Departamento Tercero Arriba,Departamento,Tercero Arriba,14161,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,6,7,7,8,7,7,5,4,3,3
196,1537,Departamento,Departamento Río Cuarto,Departamento,Río Cuarto,14098,4,5,6,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,6,7,7,7,6,6,4,2,0,0
197,1538,Departamento,Departamento Presidente Roque Sáenz Peña,Departamento,Presidente Roque Sáenz Peña,14084,0,2,4,6,5,4,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,6,6,6,6,6,6,6,8
198,1539,Departamento,Departamento General Roca,Departamento,General Roca,14035,0,1,2,4,4,4,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,6,6,6,6,5,5,5,6
199,1543,Departamento,Departamento Juárez Celman,Departamento,Juárez Celman,14056,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,6,6,6,6,5,4,4,5
200,1547,Departamento,Departamento General San Martín,Departamento,General San Martín,14042,2,4,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,4,3,4,5,6,7,8,9,8,7,6,6,6,6
201,1550,Departamento,Departamento Marcos Juárez,Departamento,Marcos Juárez,14063,1,3,5,6,6,6,4,3,1,1,0,0,0,0,0,0,0,0,0,2,3,3,2,2,4,5,6,6,7,8,9,9,8,8,7,7
269,1071,Departamento,Departamento O'Higgins,Departamento,O'Higgins,22112,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,3,5,7,8,9,8,7,6
276,1119,Departamento,Departamento 12 de Octubre,Departamento,12 de Octubre,22036,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,1,1,1,1,2,3,3,3,4,5,6,7,8,8,7,5,4
277,1120,Departamento,Departamento Pilagás,Departamento,Pilagás,34042,5,6,6,6,5,4,2,1,0,0,0,0,1,2,3,3,3,4,6,8,8,5,3,0,1,3,5,5,3,1,1,3,6,7,6,4
278,1121,Departamento,Departamento Laishi,Departamento,Laishi,34021,4,4,4,5,5,4,2,1,0,0,1,1,2,3,3,3,3,4,6,8,8,6,3,2,1,2,2,1,0,1,2,4,6,7,6,4
279,1122,Departamento,Departamento Pirané,Departamento,Pirané,34056,5,6,6,6,5,4,2,1,0,0,0,0,1,2,3,3,3,4,6,8,9,6,3,0,1,2,2,2,1,2,2,4,6,7,6,4
280,1123,Departamento,Departamento General Güemes,Departamento,General Güemes,22063,2,4,5,6,6,6,4,2,0,0,0,1,2,3,3,3,2,2,3,5,5,4,3,3,3,3,3,3,3,4,5,6,6,5,3,1
282,1149,Departamento,Departamento Patiño,Departamento,Patiño,34035,5,6,6,6,6,5,3,1,0,0,0,1,2,3,3,2,1,1,3,6,7,7,6,5,6,6,6,5,3,3,4,6,7,6,3,1
284,1156,Departamento,Departamento Tapenagá,Departamento,Tapenagá,22161,2,4,5,6,5,4,4,5,5,3,1,0,0,0,0,0,0,0,1,4,6,5,2,0,0,0,0,1,2,4,6,8,9,8,7,6
285,1157,Departamento,Departamento Quitilipi,Departamento,Quitilipi,22133,2,4,5,6,5,4,4,5,5,3,1,1,2,3,3,3,2,1,0,1,1,1,0,0,0,0,0,0,1,3,5,7,8,8,7,6
286,1158,Departamento,Departamento Presidencia de la Plaza,Departamento,Presidencia de la Plaza,22119,2,4,5,6,5,4,4,5,5,3,1,0,0,0,0,0,0,0,0,2,3,3,1,0,0,0,0,0,1,3,5,7,8,8,7,6
287,1160,Departamento,Departamento Sargento Cabral,Departamento,Sargento Cabral,22154,2,4,5,6,5,4,2,1,0,0,0,1,2,3,3,3,2,1,1,4,6,6,3,1,0,0,0,0,1,3,5,7,8,8,7,6
288,1161,Departamento,Departamento Independencia,Departamento,Independencia,22070,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,1,0,1,1,1,0,0,0,0,0,1,2,4,5,7,8,8,7,6
289,1162,Departamento,Departamento Mayor Luis J. Fontana,Departamento,Mayor Luis J. Fontana,22098,2,3,4,5,5,4,2,3,3,3,1,0,0,0,0,1,1,1,0,3,4,4,1,2,3,3,3,3,3,4,6,8,9,8,7,6
290,1163,Departamento,Departamento Fray Justo Santa María de Oro,Departamento,Fray Justo Santa María de Oro,22043,2,3,3,3,3,3,2,2,1,1,0,0,0,0,0,1,1,1,1,2,2,1,1,2,3,3,4,5,6,7,8,9,9,8,7,6
297,1183,Departamento,Departamento Maipú,Departamento,Maipú,22091,2,4,5,6,5,4,4,2,0,0,0,1,2,3,3,3,2,1,1,2,2,1,0,0,0,0,0,1,2,4,5,7,8,8,7,6
299,1192,Departamento,Departamento Almirante Brown,Departamento,Almirante Brown,22007,2,4,5,6,6,6,6,6,5,4,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,4,5,6,6,6,5,3,1
308,1280,Departamento,Departamento Chacabuco,Departamento,Chacabuco,22028,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,1,1,1,1,2,3,3,3,3,4,5,7,8,9,8,7,6
310,1292,Departamento,Departamento Formosa,Departamento,Formosa,34014,4,4,4,5,5,4,2,1,0,0,0,0,1,2,3,3,3,4,6,8,9,6,3,1,2,2,2,1,0,0,1,3,6,7,6,4
311,1293,Departamento,Departamento Pilcomayo,Departamento,Pilcomayo,34049,4,4,4,5,5,4,2,1,0,0,0,0,1,2,3,3,3,4,6,8,8,5,2,0,1,2,2,2,2,1,1,3,6,7,6,4
312,1295,Departamento,Departamento Libertador General San Martín,Departamento,Libertador General San Martín,22084,2,4,5,6,5,4,2,1,0,0,0,1,2,3,3,3,2,2,3,6,7,6,3,1,0,0,0,0,0,1,3,6,8,8,6,4
313,1297,Departamento,Departamento Bermejo,Departamento,Bermejo,22014,4,4,4,5,5,4,2,1,0,0,1,2,3,3,3,3,2,2,4,7,8,6,4,2,1,0,0,0,0,1,3,6,8,8,6,4
317,1315,Departamento,Departamento 1° de Mayo,Departamento,1° de Mayo,22126,2,4,4,5,5,4,4,5,5,3,1,1,2,2,3,3,2,2,4,7,8,6,3,2,1,0,0,0,0,1,3,6,8,8,6,6
318,1316,Departamento,Departamento 9 de Julio,Departamento,9 de Julio,22105,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,1,1,1,1,2,3,3,3,3,4,5,7,8,9,8,7,6
319,1317,Departamento,Departamento San Fernando,Departamento,San Fernando,22140,2,4,4,5,5,4,4,5,5,3,2,1,1,0,0,0,0,1,4,7,8,6,4,2,1,0,0,1,2,4,6,8,9,8,7,6
320,1318,Departamento,Departamento San Lorenzo,Departamento,San Lorenzo,22147,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,2,4,6,8,9,8,7,6
321,1319,Departamento,Departamento 2 de Abril,Departamento,2 de Abril,22039,2,3,3,3,3,3,2,3,3,3,1,0,0,0,0,1,1,1,0,1,1,1,1,2,3,3,3,4,5,6,7,8,9,8,6,4
322,1323,Departamento,Departamento 25 de Mayo,Departamento,25 de Mayo,22168,2,4,5,6,5,4,4,5,5,3,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,3,5,7,8,8,7,6
323,1324,Departamento,Departamento Libertad,Departamento,Libertad,22077,2,4,5,6,5,4,4,5,5,3,1,0,0,0,0,0,0,1,4,7,8,6,3,1,0,0,0,1,2,4,6,8,9,8,7,6
324,1325,Departamento,Departamento Comandante Fernández,Departamento,Comandante Fernández,22021,2,4,5,6,5,4,4,5,5,3,1,1,2,3,3,3,2,1,0,1,1,1,0,0,0,0,0,1,2,4,5,7,8,8,7,6
325,1326,Departamento,Departamento General Belgrano,Departamento,General Belgrano,22049,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,3,5,6,7,8,8,7,6
326,1327,Departamento,Departamento General Donovan,Departamento,General Donovan,22056,2,4,5,6,5,4,4,5,5,3,1,0,0,1,2,3,2,1,4,7,8,5,2,0,0,0,0,0,1,3,5,7,8,8,7,6
335,1360,Departamento,Departamento Villaguay,Departamento,Villaguay,30113,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,1,2,4,4,3,1,0,0,0,0,0,1,2,3,4,6,7,7,5,3
336,1361,Departamento,Departamento Federal,Departamento,Federal,30035,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,4,5,4,2,0,0,0,0,0,0,1,2,4,6,7,7,5,4
337,1362,Departamento,Departamento San Salvador,Departamento,San Salvador,30088,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,4,4,3,1,0,0,0,0,0,1,2,3,4,6,7,7,5,3
338,1363,Departamento,Departamento Nogoyá,Departamento,Nogoyá,30077,0,0,1,2,3,4,3,3,1,1,0,0,0,0,0,0,1,2,4,4,3,1,0,0,0,1,2,5,7,9,9,9,8,7,5,4
339,1364,Departamento,Departamento Tala,Departamento,Tala,30091,0,0,1,2,3,4,3,3,1,1,0,0,0,0,0,0,1,2,4,4,3,1,0,0,0,1,2,4,5,6,7,8,8,7,5,3
340,1365,Departamento,Departamento La Paz,Departamento,La Paz,30070,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,1,2,4,4,3,1,0,1,2,3,3,3,4,5,6,7,7,7,5,4
341,1366,Departamento,Departamento Feliciano,Departamento,Feliciano,30042,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,3,5,7,6,3,0,0,0,0,0,0,1,2,4,6,7,7,5,5
342,1367,Departamento,Departamento Paraná,Departamento,Paraná,30084,0,0,1,2,3,4,3,2,0,0,0,2,4,6,6,5,4,4,5,6,5,4,2,2,2,3,3,4,5,6,7,8,8,7,5,4
343,1368,Departamento,Departamento Diamante,Departamento,Diamante,30021,1,3,5,6,6,6,4,3,1,1,0,2,4,6,6,5,4,4,5,6,5,4,2,2,2,4,5,7,8,9,9,9,8,7,5,4
349,1428,Departamento,Departamento Las Colonias,Departamento,Las Colonias,82070,0,0,1,2,4,4,3,1,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,1,3,5,6,7,8,9,9,9,8,7,5,4
350,1429,Departamento,Departamento San Justo,Departamento,San Justo,82112,0,0,1,2,4,4,3,1,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,1,2,3,3,3,4,6,8,9,8,7,5,4
351,1453,Departamento,Departamento Castellanos,Departamento,Castellanos,82021,0,0,1,2,4,4,3,1,0,0,0,0,0,0,1,2,2,2,2,3,2,1,1,2,4,5,6,7,8,9,9,9,8,7,5,4
352,1454,Departamento,Departamento San Martín,Departamento,San Martín,82126,0,1,2,4,5,6,4,2,0,0,0,0,0,0,0,1,1,2,2,3,2,1,1,2,4,5,6,7,8,9,9,9,8,7,5,4
355,1462,Departamento,Departamento General Obligado,Departamento,General Obligado,82049,0,1,3,5,5,4,2,2,0,0,0,0,0,0,0,0,0,1,3,6,6,5,2,2,2,3,3,3,4,6,8,9,9,8,7,6
356,1466,Departamento,Departamento Vera,Departamento,Vera,82133,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,1,2,5,5,4,1,1,2,3,3,3,4,6,8,9,8,7,6,6
357,1467,Departamento,Departamento 9 de Julio,Departamento,9 de Julio,82077,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,1,1,2,2,3,2,1,1,2,3,3,4,4,5,6,8,9,8,7,5,4
358,1468,Departamento,Departamento San Cristóbal,Departamento,San Cristóbal,82091,0,0,1,2,4,4,3,1,0,0,0,0,0,0,0,1,1,2,2,3,2,1,1,2,3,3,3,4,5,7,9,9,8,7,5,4
359,1469,Departamento,Departamento La Capital,Departamento,La Capital,82063,0,0,1,2,4,4,3,1,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,1,2,3,3,4,6,8,9,9,8,7,5,4
360,1470,Departamento,Departamento San Javier,Departamento,San Javier,82098,0,0,1,2,4,4,3,1,0,0,0,0,0,0,0,0,0,1,2,5,4,3,1,1,2,3,3,3,4,6,8,9,8,7,5,5
361,1476,Departamento,Departamento Garay,Departamento,Garay,82035,3,4,5,6,6,6,4,2,0,0,0,2,4,6,6,5,4,4,5,6,5,4,2,2,2,3,3,4,5,7,8,9,8,7,5,4
362,1478,Departamento,Departamento San Jerónimo,Departamento,San Jerónimo,82105,0,1,2,3,3,4,3,3,1,1,0,0,0,0,0,1,1,2,2,3,2,1,0,1,3,5,6,7,8,9,9,9,8,7,5,4
363,1479,Departamento,Departamento Capital,Departamento,Capital,54028,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,3,2,1,1
364,1480,Departamento,Departamento San Ignacio,Departamento,San Ignacio,54098,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
365,1481,Departamento,Departamento Candelaria,Departamento,Candelaria,54021,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,2,1,0,1
366,1482,Departamento,Departamento Montecarlo,Departamento,Montecarlo,54084,0,0,0,1,3,4,3,2,1,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,1483,Departamento,Departamento Cainguás,Departamento,Cainguás,54014,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,1484,Departamento,Departamento Oberá,Departamento,Oberá,54091,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,2,1,0,0
369,1485,Departamento,Departamento 25 de Mayo,Departamento,25 de Mayo,54119,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,1,2,2,1,0,0
370,1486,Departamento,Departamento Leandro N. Alem,Departamento,Leandro N. Alem,54070,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,2,1,0,1
371,1487,Departamento,Departamento San Javier,Departamento,San Javier,54105,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,1,2,2,1,0,1
372,1488,Departamento,Departamento Concepción,Departamento,Concepción,54035,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,3,2,1,1
373,1489,Departamento,Departamento Apóstoles,Departamento,Apóstoles,54007,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,3,2,1,1
374,1490,Departamento,Departamento Guaraní,Departamento,Guaraní,54056,0,0,0,1,3,4,3,2,1,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,1491,Departamento,Departamento San Pedro,Departamento,San Pedro,54112,0,0,0,1,3,4,3,2,2,4,5,6,6,6,6,5,4,4,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,1492,Departamento,Departamento Iguazú,Departamento,Iguazú,54063,0,0,0,1,3,4,3,2,2,3,4,5,6,6,6,5,4,4,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,1493,Departamento,Departamento General Manuel Belgrano,Departamento,General Manuel Belgrano,54049,0,0,0,1,3,4,3,2,2,3,4,6,6,6,6,5,4,4,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,1494,Departamento,Departamento Eldorado,Departamento,Eldorado,54042,0,0,0,1,3,4,3,2,2,3,3,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,1495,Departamento,Departamento Libertador General San Martín,Departamento,Libertador General San Martín,54077,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1496,Departamento,Departamento Federación,Departamento,Federación,30028,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,5,7,6,3,0,0,0,0,0,0,1,2,4,6,7,6,4,3
381,1499,Departamento,Departamento Colón,Departamento,Colón,30008,0,0,0,1,2,3,2,2,0,0,0,0,0,0,0,0,1,2,4,4,3,1,0,0,0,0,0,1,2,3,4,6,7,7,5,3
382,1501,Departamento,Departamento Concordia,Departamento,Concordia,30015,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,4,5,4,2,0,0,0,0,0,1,2,3,4,6,7,6,4,3
383,1502,Departamento,Departamento San Luis del Palmar,Departamento,San Luis del Palmar,18140,4,4,4,5,5,4,3,3,2,1,1,2,3,3,3,3,2,2,4,7,8,6,4,2,1,0,0,0,0,1,3,6,7,6,4,3
384,1503,Departamento,Departamento Mburucuyá,Departamento,Mburucuyá,18098,0,1,3,5,5,4,2,1,0,0,1,2,3,3,3,3,2,2,4,7,8,6,3,1,0,0,0,0,0,1,3,6,7,7,5,4
