fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_max,AGO2020_max,SEP2020_max,OCT2020_max,NOV2020_max,DIC2020_max,ENE2021_max,FEB2021_max,MAR2021_max,ABR2021_max,MAY2021_max,JUN2021_max,JUL2021_max,AGO2021_max,SEP2021_max,OCT2021_max,NOV2021_max,DIC2021_max,ENE2022_max,FEB2022_max,MAR2022_max,ABR2022_max,MAY2022_max,JUN2022_max,JUL2022_max,AGO2022_max,SEP2022_max,OCT2022_max,NOV2022_max,DIC2022_max,ENE2023_max,FEB2023_max,MAR2023_max,ABR2023_max,MAY2023_max,JUN2023_max
32,1102,Buenos Aires,San Cayetano,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,3,4,4,3,2,1,0,0,0,1,2,3,3,4,5,4,2,0,0
33,1103,Buenos Aires,Tres Arroyos,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,1,2,3,3,4,5,4,2,0,0
34,1104,Buenos Aires,Coronel Dorrego,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1,0,1,2,3,3,3,2,1,0,0,0,1,2,3,3,4,5,4,2,0,0
35,1105,Buenos Aires,Necochea,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,3,4,4,3,2,1,0,0,0,1,2,3,3,4,5,4,2,0,0
36,1110,Buenos Aires,Lezama,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,1,2,4,7,6,6,6,8,8,6,4
37,1111,Buenos Aires,Chascomús,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,7,6,6,8,9,7,5
38,1112,Buenos Aires,Punta Indio,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,8,7,7,8,9,7,5
39,1114,Buenos Aires,Campana,0,2,4,6,5,5,5,6,5,4,3,4,5,6,6,5,5,5,6,6,5,4,3,3,3,4,6,8,9,9,9,9,9,9,7,5
44,1130,Buenos Aires,Adolfo Alsina,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,4,4,4,5
45,1131,Buenos Aires,Pellegrini,0,0,0,1,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,3,4,5,6,7,8
46,1132,Buenos Aires,Puán,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,1,2,3,3,3,3,3,3,2,3,3
47,1133,Buenos Aires,Villarino,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,5,6,6,5,3,3,2,1,0,0,0,0,0,0,0,0,0,1,2,3,3
48,1134,Buenos Aires,General Villegas,0,1,2,4,5,6,4,4,3,4,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,9,8,8,8,9,9,9,9
56,1159,Buenos Aires,Pergamino,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,6,6,4,2,1,3,5,6,7,8,9,9,9,9,9,9,8,7
65,1199,Buenos Aires,Castelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,1,2,4,7,6,6,6,8,8,6,4
66,1200,Buenos Aires,Almirante Brown,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
67,1201,Buenos Aires,Presidente Perón,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,2,4,5,7,8,9,9,9,9,9,7,5
68,1202,Buenos Aires,Brandsen,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5
69,1203,Buenos Aires,Carlos Casares,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,9,8,7,7,8,9,9,9
70,1204,Buenos Aires,Carlos Tejedor,0,0,0,1,2,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,9,8,7,6,7,8,9,9
71,1205,Buenos Aires,25 de Mayo,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,0,1,2,3,5,7,9,9,9,9,9,9,9,9
72,1206,Buenos Aires,9 de Julio,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,1,1,1,0,0,0,1,2,3,5,7,9,8,8,8,9,9,9,9
73,1207,Buenos Aires,Pehuajó,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,5,5,5,7,8,9,9
74,1208,Buenos Aires,Trenque Lauquen,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,4,4,5,6,7,8
75,1209,Buenos Aires,General Belgrano,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,8,9,9,9,8,6,4
76,1210,Buenos Aires,Monte,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,9,9,9,9,9,7,5
77,1211,Buenos Aires,Roque Pérez,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,1,2,2,1,0,0,0,1,2,3,4,5,7,8,9,9,9,9,8,7
78,1212,Buenos Aires,Olavarría,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,4,4,4,4,4,5
79,1213,Buenos Aires,Merlo,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
80,1214,Buenos Aires,Esteban Echeverría,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
81,1215,Buenos Aires,Arrecifes,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,1,3,5,6,5,3,1,1,3,5,6,7,8,9,9,9,9,9,9,8,7
82,1216,Buenos Aires,Capitán Sarmiento,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
83,1217,Buenos Aires,Carmen de Areco,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,2,3,4,6,8,9,9,9,9,9,9,8,7
84,1218,Buenos Aires,Salto,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,4,2,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7
85,1219,Buenos Aires,Exaltación de la Cruz,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
