fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_max,AGO2020_max,SEP2020_max,OCT2020_max,NOV2020_max,DIC2020_max,ENE2021_max,FEB2021_max,MAR2021_max,ABR2021_max,MAY2021_max,JUN2021_max,JUL2021_max,AGO2021_max,SEP2021_max,OCT2021_max,NOV2021_max,DIC2021_max,ENE2022_max,FEB2022_max,MAR2022_max,ABR2022_max,MAY2022_max,JUN2022_max,JUL2022_max,AGO2022_max,SEP2022_max,OCT2022_max,NOV2022_max,DIC2022_max,ENE2023_max,FEB2023_max,MAR2023_max,ABR2023_max,MAY2023_max,JUN2023_max
166,1433,La Pampa,Chapaleufú,0,0,1,3,5,6,4,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,5,4,3,4,6,8,9,9
167,1434,La Pampa,Rancul,0,0,1,3,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,6,6,5,5,4,5,5,6
168,1435,La Pampa,Lihuel Calel,1,1,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
169,1436,La Pampa,Hucal,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,3,3,2,1,1
170,1437,La Pampa,Limay Mahuida,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,3,2,1,0,0,0,0
171,1438,La Pampa,Guatraché,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,3,3,2,2,2
172,1439,La Pampa,Maracó,0,0,1,2,4,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,5,4,3,4,5,6,7,8
173,1440,La Pampa,Realicó,0,0,1,3,5,6,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,5,4,3,4,5,6,7,8
174,1441,La Pampa,Utracán,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,2,1,0,0
175,1442,La Pampa,Toay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,4,5
176,1443,La Pampa,Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,4,5
177,1444,La Pampa,Trenel,0,0,1,2,4,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,5,4,3,4,5,6,7,8
178,1447,La Pampa,Conhelo,0,0,1,2,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,5,4,3,4,5,6,7,8
179,1448,La Pampa,Loventué,0,0,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,2,1,1,2
180,1450,Buenos Aires,San Fernando,0,2,4,6,6,6,5,6,5,3,2,3,5,6,6,5,4,5,6,6,5,4,3,3,3,4,6,8,9,9,9,9,9,9,7,5
181,1451,Buenos Aires,Tigre,0,0,0,0,1,2,3,3,2,1,1,3,5,6,6,5,4,5,6,6,5,4,3,3,3,4,5,7,8,9,9,9,9,9,7,5
182,1456,Buenos Aires,Rivadavia,0,0,1,2,4,5,4,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,6,5,4,4,6,8,9,9
183,1463,Santa Fe,General López,1,3,5,6,6,6,6,6,5,4,2,1,0,0,0,1,3,5,4,4,3,3,2,2,4,5,7,8,9,9,9,9,9,9,9,9
184,1464,Santa Fe,Caseros,1,3,5,6,6,6,6,6,5,3,1,0,0,0,0,1,3,5,6,6,5,3,2,2,4,5,6,7,8,9,9,9,9,9,8,7
185,1465,Santa Fe,San Lorenzo,1,3,5,6,6,6,6,6,5,4,2,3,4,6,6,5,4,5,6,6,5,4,2,2,3,5,7,8,9,9,9,9,9,9,7,5
186,1471,La Pampa,Atreucó,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,3,3,3,4,5
187,1472,La Pampa,Catriló,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,4,5,6,6,6
188,1473,La Pampa,Quemú Quemú,0,0,0,1,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,3,4,5,6,7,8
189,1474,La Pampa,Curacó,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
190,1477,Santa Fe,Belgrano,1,3,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,2,2,4,3,3,2,2,4,5,6,7,8,9,9,9,8,8,6,5
191,1497,Entre Rios,Islas del Ibicuy,1,3,5,6,6,6,6,6,5,4,3,4,5,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,9,8,6,4
192,1498,Entre Rios,Uruguay,0,0,1,2,3,4,5,6,5,3,2,1,1,0,0,0,1,2,4,4,3,1,0,0,0,1,2,5,7,9,9,9,8,7,5,3
193,1500,Entre Rios,Gualeguaychú,1,3,5,6,6,6,6,6,5,4,3,4,5,6,6,5,4,4,5,6,5,4,2,1,0,2,5,8,9,9,9,9,9,8,6,4
194,1535,Córdoba,Unión,3,5,6,6,6,6,4,3,1,1,0,0,0,0,0,1,1,2,1,3,4,5,4,3,4,5,6,7,8,9,9,9,8,8,7,7
195,1536,Córdoba,Tercero Arriba,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,6,7,8,9,8,8,7,7,6,6
196,1537,Córdoba,Río Cuarto,4,5,6,6,6,5,3,2,1,2,1,1,0,0,0,0,0,1,1,3,4,5,5,5,6,6,6,7,7,7,6,6,5,4,4,5
197,1538,Córdoba,Presidente Roque Sáenz Peña,3,5,6,6,6,6,4,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,6,7,8,9,9,9,9,9
198,1539,Córdoba,General Roca,3,5,6,6,5,6,4,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,7,7,7,6,6,7,8,9,9
199,1543,Córdoba,Juárez Celman,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,6,7,7,8,7,7,6,7,7,7
200,1547,Córdoba,General San Martín,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,6,7,8,9,9,9,8,8,7,7
201,1550,Córdoba,Marcos Juárez,1,3,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,2,1,3,3,3,2,2,4,5,6,7,8,9,9,9,8,8,7,7
269,1071,Chaco,O'Higgins,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,1,1,1,1,2,3,3,3,3,4,5,7,8,9,8,7,6
276,1119,Chaco,12 de Octubre,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,2,2,3,2,1,1,2,3,3,4,5,6,6,7,8,9,8,7,6
277,1120,Formosa,Pilagás,5,6,6,6,6,5,3,1,0,0,0,0,1,2,3,3,3,4,6,8,9,8,7,5,4,4,5,5,3,2,2,4,6,7,6,4
278,1121,Formosa,Laishi,4,5,5,6,6,6,4,2,0,0,1,3,5,6,6,6,5,5,6,8,9,6,4,2,2,3,3,2,1,1,3,6,8,8,6,4
279,1122,Formosa,Pirané,5,6,6,6,6,5,3,1,0,0,0,1,2,3,3,3,3,4,6,8,9,7,5,2,2,4,5,5,3,2,3,6,8,8,6,4
280,1123,Chaco,General Güemes,5,6,6,6,6,6,6,6,5,4,3,3,3,3,3,3,2,2,3,5,6,6,6,6,6,6,6,5,5,5,6,7,8,8,7,6
282,1149,Formosa,Patiño,5,6,6,6,6,5,3,1,0,0,0,1,2,3,3,3,3,4,6,8,9,9,9,8,7,6,6,5,5,5,6,7,8,8,6,4
284,1156,Chaco,Tapenagá,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,4,7,8,6,4,2,2,3,3,3,3,4,6,8,9,8,7,6
285,1157,Chaco,Quitilipi,2,4,5,6,5,4,4,5,5,3,1,1,2,3,3,3,2,1,1,2,3,2,1,0,0,0,0,1,2,4,6,8,9,8,7,6
286,1158,Chaco,Presidencia de la Plaza,2,4,5,6,5,4,4,5,5,3,1,1,2,3,3,3,2,1,1,4,6,5,2,0,0,0,0,0,1,3,6,8,9,8,7,6
287,1160,Chaco,Sargento Cabral,2,4,5,6,5,4,4,5,5,3,1,1,2,3,3,3,2,2,4,7,8,6,3,1,0,0,0,0,1,3,5,7,8,8,7,6
288,1161,Chaco,Independencia,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,1,0,1,1,1,0,0,0,0,0,1,3,5,7,8,9,8,7,6
289,1162,Chaco,Mayor Luis J. Fontana,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,1,4,6,5,2,2,3,3,4,5,6,6,7,8,9,8,7,6
290,1163,Chaco,Fray Justo Santa María de Oro,2,3,3,3,3,3,2,3,3,3,1,0,0,0,0,1,1,2,2,4,5,4,2,2,3,3,4,5,6,7,8,9,9,8,7,6
297,1183,Chaco,Maipú,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,2,3,5,5,3,1,0,0,0,0,1,2,4,5,7,8,8,7,6
299,1192,Chaco,Almirante Brown,5,6,6,6,6,6,6,6,5,4,3,3,3,3,3,3,2,2,3,5,5,3,2,3,3,3,3,3,4,5,7,8,8,8,7,6
308,1280,Chaco,Chacabuco,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,2,1,2,1,1,1,2,3,3,3,4,5,6,7,8,9,8,7,6
310,1292,Formosa,Formosa,5,6,6,6,6,6,4,2,0,0,1,3,5,6,6,6,5,5,6,8,9,6,4,3,3,3,3,3,2,2,2,4,6,7,6,4
311,1293,Formosa,Pilcomayo,5,6,6,6,6,6,4,2,0,0,1,3,5,6,6,6,5,5,6,8,8,5,3,2,2,3,5,5,3,1,1,3,6,7,6,4
312,1295,Chaco,Libertador General San Martín,5,6,6,6,6,5,3,1,0,0,1,2,3,3,3,3,3,4,6,8,9,6,4,2,1,0,0,1,2,4,5,7,8,8,7,6
313,1297,Chaco,Bermejo,4,4,4,5,6,6,6,6,5,3,2,3,5,6,6,6,5,5,5,7,8,6,4,2,2,3,3,2,2,4,6,8,8,8,6,4
317,1315,Chaco,1° de Mayo,4,4,5,6,6,6,6,6,5,3,2,3,5,6,6,6,5,5,5,7,8,6,4,3,3,3,3,2,2,4,6,8,9,8,7,6
318,1316,Chaco,9 de Julio,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,1,0,1,1,1,1,2,3,3,3,3,4,5,7,8,9,8,7,6
319,1317,Chaco,San Fernando,4,4,5,6,6,6,6,6,5,3,2,3,5,6,6,5,4,4,5,7,8,6,4,3,3,3,2,2,2,4,6,8,9,8,7,6
320,1318,Chaco,San Lorenzo,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,0,3,4,4,1,0,0,0,0,1,3,5,7,8,9,8,7,6
321,1319,Chaco,2 de Abril,2,4,5,6,6,6,6,6,5,3,1,0,0,0,0,1,1,1,1,2,2,1,1,2,3,3,4,5,6,7,8,9,9,8,7,6
322,1323,Chaco,25 de Mayo,2,4,5,6,5,4,4,5,5,3,1,1,2,3,3,3,2,2,3,6,7,5,2,0,0,0,0,1,2,4,6,8,9,8,7,6
323,1324,Chaco,Libertad,2,4,5,6,5,4,4,5,5,3,2,1,1,1,2,3,2,2,4,7,8,6,4,2,1,0,0,1,2,4,6,8,9,8,7,6
324,1325,Chaco,Comandante Fernández,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,1,0,1,1,1,0,0,0,0,0,1,3,5,6,7,8,8,7,6
325,1326,Chaco,General Belgrano,2,4,5,6,6,6,6,6,5,3,1,1,2,3,3,3,2,1,0,1,1,1,1,2,3,3,3,3,4,5,7,8,9,8,7,6
326,1327,Chaco,General Donovan,2,4,5,6,5,4,4,5,5,3,1,1,2,3,3,3,2,2,4,7,8,6,3,1,0,0,0,1,2,4,6,8,9,8,7,6
335,1360,Entre Rios,Villaguay,0,0,1,2,3,4,3,3,1,1,0,0,0,0,0,1,2,3,4,5,4,2,0,0,0,0,1,3,5,6,7,8,8,7,5,4
336,1361,Entre Rios,Federal,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,5,7,6,3,0,1,2,3,3,3,4,5,6,7,7,7,5,5
337,1362,Entre Rios,San Salvador,0,0,0,1,2,4,3,2,0,0,0,0,0,0,0,1,2,3,4,5,4,2,0,0,0,0,0,1,2,3,4,6,7,7,5,3
338,1363,Entre Rios,Nogoyá,0,0,1,2,3,4,5,6,5,3,1,2,4,6,6,5,4,4,5,6,5,4,2,2,2,3,4,7,8,9,9,9,8,7,5,4
339,1364,Entre Rios,Tala,0,0,1,2,3,4,5,6,5,3,1,0,0,0,0,0,1,2,4,4,3,1,0,0,0,2,4,7,8,9,9,9,8,7,5,4
340,1365,Entre Rios,La Paz,3,4,5,6,6,6,4,2,0,0,0,2,4,6,6,5,4,4,5,7,6,4,2,2,2,3,3,4,5,7,8,9,8,7,5,5
341,1366,Entre Rios,Feliciano,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,5,7,7,4,1,1,2,3,3,3,4,5,7,8,8,7,6,6
342,1367,Entre Rios,Paraná,3,4,5,6,6,6,4,3,1,1,0,2,4,6,6,5,4,4,5,6,5,4,2,2,2,4,5,7,8,9,9,9,8,7,5,4
343,1368,Entre Rios,Diamante,3,4,5,6,6,6,6,6,5,4,2,3,4,6,6,5,4,4,5,6,5,4,2,2,2,4,6,8,9,9,9,9,8,7,5,4
349,1428,Santa Fe,Las Colonias,0,1,2,4,5,6,4,2,0,0,0,0,0,0,1,2,2,2,2,3,2,1,1,2,4,5,6,7,8,9,9,9,8,7,5,4
350,1429,Santa Fe,San Justo,0,0,1,2,4,4,3,1,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,1,2,3,3,4,6,8,9,9,8,7,5,4
351,1453,Santa Fe,Castellanos,0,1,2,4,5,6,4,2,0,0,0,0,0,1,2,3,2,2,2,3,2,1,1,2,4,5,6,7,8,9,9,9,8,7,5,4
352,1454,Santa Fe,San Martín,1,3,5,6,6,6,4,3,1,1,0,0,0,0,0,1,1,2,2,3,2,2,1,2,4,5,6,7,8,9,9,9,8,8,6,5
355,1462,Santa Fe,General Obligado,4,5,5,6,6,6,4,4,3,3,2,3,5,6,6,5,4,4,5,7,8,6,4,3,3,3,3,3,4,6,8,9,9,8,7,6
356,1466,Santa Fe,Vera,2,3,4,5,5,4,3,3,3,3,1,0,0,0,0,1,1,2,2,5,6,6,4,3,3,3,4,5,6,7,8,9,9,8,7,6
357,1467,Santa Fe,9 de Julio,2,3,3,3,4,4,3,3,3,3,1,0,0,1,2,3,2,2,2,5,5,4,2,2,3,3,4,5,6,7,8,9,9,8,7,6
358,1468,Santa Fe,San Cristóbal,0,0,1,2,4,4,3,1,0,0,0,0,0,1,2,3,2,2,2,3,2,1,1,2,4,5,6,7,8,9,9,9,8,7,5,4
359,1469,Santa Fe,La Capital,3,4,5,6,6,6,4,3,1,1,0,2,4,6,6,5,4,4,5,6,5,4,2,2,3,5,6,7,8,9,9,9,8,7,5,4
360,1470,Santa Fe,San Javier,3,4,5,6,6,6,4,2,0,0,0,2,4,6,6,5,4,4,5,6,5,5,2,2,2,3,3,3,4,6,8,9,8,7,6,6
361,1476,Santa Fe,Garay,3,4,5,6,6,6,4,2,0,0,0,2,4,6,6,5,4,4,5,6,5,4,2,2,2,3,3,4,6,8,9,9,8,7,5,4
362,1478,Santa Fe,San Jerónimo,3,4,5,6,6,6,4,3,1,1,0,2,4,6,6,5,4,5,6,6,5,4,2,2,3,5,6,7,8,9,9,9,8,7,5,4
363,1479,Misiones,Capital,0,0,0,1,3,5,5,4,2,2,2,4,5,6,6,5,4,4,5,7,7,4,2,2,2,3,2,1,0,0,2,4,6,5,3,2
364,1480,Misiones,San Ignacio,0,0,0,1,3,5,5,4,2,2,2,4,5,6,6,5,4,4,5,7,7,4,2,2,2,3,2,1,0,0,1,2,2,1,0,0
365,1481,Misiones,Candelaria,0,0,0,1,3,5,5,4,2,2,2,4,5,6,6,5,4,4,5,7,7,4,2,2,2,3,2,1,0,0,1,2,3,2,1,1
366,1482,Misiones,Montecarlo,0,0,0,1,3,5,5,4,2,3,3,4,5,6,6,5,4,4,5,7,6,4,2,2,2,3,2,1,0,0,0,0,0,0,0,0
367,1483,Misiones,Cainguás,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,1,2,2,1,0,0
368,1484,Misiones,Oberá,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,2,1,0,1
369,1485,Misiones,25 de Mayo,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,6,3,0,0,0,0,0,0,0,0,1,2,2,1,0,0
370,1486,Misiones,Leandro N. Alem,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,2,1,0,1
371,1487,Misiones,San Javier,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,2,1,0,1
372,1488,Misiones,Concepción,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,7,4,1,0,0,0,0,0,0,0,1,2,3,2,1,1
373,1489,Misiones,Apóstoles,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,2,2,2,5,7,8,5,2,0,0,0,0,0,0,0,1,2,3,2,1,1
374,1490,Misiones,Guaraní,0,0,0,1,3,5,5,4,2,4,5,6,6,6,6,5,4,4,5,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,1491,Misiones,San Pedro,0,0,0,1,3,4,3,2,2,4,5,6,6,6,6,5,4,4,5,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,1492,Misiones,Iguazú,0,0,0,1,3,4,3,2,2,3,4,5,6,6,6,5,4,4,5,7,6,4,2,2,2,3,2,1,0,0,0,0,0,0,0,0
377,1493,Misiones,General Manuel Belgrano,0,0,0,1,3,4,3,2,2,4,5,6,6,6,6,5,4,4,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,1494,Misiones,Eldorado,0,0,0,1,3,4,3,2,2,3,4,5,6,6,6,5,4,4,5,7,6,4,2,2,2,3,2,1,0,0,0,0,0,0,0,0
379,1495,Misiones,Libertador General San Martín,0,0,0,1,3,5,5,4,2,2,2,4,5,6,6,5,4,4,5,7,6,4,2,2,2,3,2,1,0,0,0,0,0,0,0,0
380,1496,Entre Rios,Federación,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,5,7,7,4,1,0,0,0,0,0,1,2,4,6,7,7,6,6
381,1499,Entre Rios,Colón,0,0,0,1,2,4,3,4,3,3,1,0,0,0,0,0,1,2,4,5,4,2,0,0,0,0,1,3,5,6,6,7,7,7,5,3
382,1501,Entre Rios,Concordia,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,5,7,6,3,0,0,0,0,0,1,2,3,4,6,7,7,5,3
383,1502,Corrientes,San Luis del Palmar,4,4,4,5,5,4,3,3,2,1,1,2,3,3,3,3,2,2,4,7,8,6,4,2,1,0,0,1,2,4,5,7,7,7,5,4
384,1503,Corrientes,Mburucuyá,2,2,4,5,5,4,3,3,2,1,1,2,3,3,3,3,2,2,4,7,8,6,4,2,1,0,0,0,0,1,3,6,7,7,5,4
385,1504,Corrientes,Concepción,0,1,3,5,5,4,3,2,1,0,1,2,3,3,3,3,2,2,4,7,8,6,3,1,0,0,1,2,3,4,6,8,8,7,6,6
386,1505,Corrientes,Mercedes,0,0,1,1,1,0,0,0,0,0,0,0,1,2,3,3,3,3,5,7,8,5,2,0,0,0,1,2,4,6,8,9,8,7,6,6
387,1506,Corrientes,San Roque,3,4,5,6,5,4,2,1,0,0,1,2,3,3,3,3,2,2,4,7,8,5,2,1,2,3,3,3,4,6,8,9,8,7,6,6
388,1507,Corrientes,General Paz,4,4,4,5,5,4,3,3,2,1,1,3,5,6,6,5,4,4,5,7,8,6,4,2,2,3,2,1,0,1,3,6,7,7,5,4
389,1508,Corrientes,Empedrado,4,5,5,6,6,6,5,4,2,1,1,3,5,6,6,5,4,4,5,7,8,6,4,3,3,3,2,2,2,4,6,8,9,8,7,6
390,1509,Corrientes,Saladas,4,5,5,6,6,6,4,2,0,0,1,3,5,6,6,5,4,4,5,7,8,6,4,2,2,3,3,3,3,4,6,8,8,7,6,6
391,1510,Corrientes,Bella Vista,3,4,5,6,6,6,4,3,1,1,1,3,5,6,6,5,4,4,5,7,8,6,3,2,2,3,3,3,4,6,8,9,9,8,7,6
392,1511,Corrientes,Lavalle,3,4,5,6,6,6,4,2,0,0,0,2,4,6,6,5,4,4,5,7,8,5,3,2,2,3,3,3,4,6,8,9,8,7,6,6
393,1512,Corrientes,Goya,3,4,5,6,6,6,4,2,0,0,0,2,4,6,6,5,4,4,5,7,8,5,2,2,2,3,3,3,4,6,8,9,8,7,6,6
394,1513,Corrientes,Esquina,3,4,5,6,6,6,4,2,0,0,0,2,4,6,6,5,4,4,5,7,8,5,2,2,2,3,3,3,4,6,8,9,8,7,6,6
395,1514,Corrientes,Sauce,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,3,5,7,8,5,2,1,2,3,3,3,3,5,7,8,8,7,6,6
396,1515,Corrientes,Curuzú Cuatiá,0,0,1,1,2,3,2,1,0,0,0,0,0,1,2,2,2,3,5,7,8,5,2,0,0,0,1,2,4,6,8,9,8,7,6,6
397,1516,Corrientes,Monte Caseros,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,1,2,3,5,7,7,4,1,0,0,0,0,0,1,3,6,8,8,7,6,6
398,1517,Corrientes,Paso de los Libres,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,3,3,3,5,7,7,4,1,0,0,0,1,2,3,4,6,8,8,7,6,6
399,1518,Corrientes,San Martín,0,0,0,0,1,2,2,1,0,0,1,1,2,2,3,3,3,3,5,7,8,5,2,0,0,0,1,2,3,4,6,8,8,7,5,4
400,1519,Corrientes,General Alvear,0,0,0,0,1,2,2,1,0,1,1,1,1,2,3,3,3,3,5,7,7,4,1,0,0,0,0,0,0,1,3,6,7,6,4,3
401,1520,Corrientes,Santo Tomé,0,0,0,1,3,5,5,4,2,2,2,3,3,3,3,3,3,3,5,7,8,5,2,0,0,0,0,0,0,1,3,6,7,6,4,3
402,1521,Corrientes,San Miguel,1,0,2,4,5,6,5,4,2,1,1,3,5,6,6,5,4,4,5,7,8,6,3,2,2,3,2,1,0,1,3,6,7,7,5,4
403,1522,Corrientes,Ituzaingó,1,0,1,3,5,6,5,4,2,2,2,4,5,6,6,5,4,4,5,7,8,5,2,2,2,3,2,1,0,1,3,6,7,7,5,4
404,1523,Corrientes,Berón de Astrada,4,3,3,4,5,4,3,3,2,1,1,3,5,6,6,5,4,4,5,7,8,6,4,3,3,3,2,1,0,1,3,6,7,6,4,3
405,1524,Corrientes,Itatí,4,4,4,5,5,4,3,3,2,1,1,3,5,6,6,5,4,4,5,7,8,6,4,3,3,3,2,1,0,1,3,6,7,6,4,3
406,1525,Corrientes,San Cosme,4,4,4,5,6,6,5,4,2,1,1,3,5,6,6,5,4,4,5,7,8,6,4,3,3,3,2,2,2,4,5,7,7,6,4,3
407,1526,Corrientes,Capital,4,4,4,5,6,6,6,6,5,3,2,3,5,6,6,5,4,4,5,7,8,6,4,3,3,3,2,2,2,4,6,8,8,7,6,6
408,1527,Córdoba,Tulumba,0,1,2,3,3,3,2,1,0,0,0,0,1,2,3,3,2,2,2,3,2,2,2,4,5,6,6,6,7,8,9,9,8,7,6,6
409,1528,Córdoba,Cruz del Eje,3,5,6,6,6,5,3,1,0,0,0,0,1,2,3,3,2,2,1,1,0,1,2,4,5,6,6,6,6,6,5,4,3,3,3,3
410,1529,Córdoba,Punilla,3,5,6,6,6,5,3,1,0,0,0,0,0,0,1,2,2,2,1,2,1,2,3,5,6,6,6,7,8,9,7,5,3,3,4,5
411,1530,Córdoba,Santa María,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,6,7,8,9,8,7,6,6,6,6
412,1531,Córdoba,Minas,3,5,6,6,6,5,3,1,0,0,0,0,1,2,3,3,2,2,1,1,0,1,2,3,3,3,3,4,5,6,5,4,3,3,3,3
413,1532,Córdoba,San Alberto,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,6,6,7,7,7,5,4,3,3,3,3
414,1533,Córdoba,Río Segundo,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,5,6,6,6,7,8,9,9,9,8,7,6,6
415,1534,Córdoba,San Justo,2,4,6,6,6,6,4,2,0,0,0,0,1,2,3,3,2,2,2,3,4,5,4,4,5,6,6,7,8,9,9,9,8,8,7,7
416,1540,Córdoba,Río Seco,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,2,2,2,3,2,2,2,4,5,6,6,6,7,8,9,9,8,7,6,6
417,1541,Córdoba,Sobremonte,0,0,1,1,1,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,2,2,2,4,5,6,6,6,7,8,8,7,6,6,6,6
418,1542,Córdoba,Capital,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,5,6,6,6,7,8,9,8,7,5,4,4,5
419,1544,Córdoba,Colón,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,4,5,6,6,7,8,9,8,7,6,6,6,6
420,1545,Córdoba,Ischilín,0,1,2,3,3,3,2,1,0,0,0,0,1,2,3,3,2,2,2,3,2,2,2,4,5,6,6,6,7,8,7,6,5,6,6,6
421,1546,Córdoba,Totoral,0,1,2,3,3,3,2,1,0,0,0,0,1,2,3,3,2,2,2,3,2,2,2,4,5,6,6,6,7,8,8,7,6,6,6,6
422,1548,Córdoba,San Javier,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,6,6,7,7,7,5,4,3,3,3,3
423,1549,Córdoba,Río Primero,3,4,6,6,6,5,3,1,0,0,0,0,1,2,3,3,2,2,2,3,2,2,3,5,6,6,6,7,8,9,9,9,8,7,6,6
424,1551,Córdoba,Calamuchita,4,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,6,7,7,8,7,7,5,4,3,3
425,1552,Córdoba,Pocho,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,6,6,6,6,6,5,4,3,3,3,3
454,1150,Formosa,Bermejo,2,4,5,6,6,5,3,1,0,0,0,1,2,3,3,2,1,1,3,6,8,9,9,8,7,6,6,5,5,5,6,6,6,5,3,1
456,1152,Formosa,Matacos,2,4,5,6,6,5,3,1,0,0,0,0,0,0,0,0,0,1,3,5,6,6,6,6,6,6,5,4,3,4,5,6,4,2,0,0
